Date,Open,High,Low,Close,Adj Close,Volume
2013-01-03,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-04,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-07,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-08,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-09,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-10,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-11,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-14,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-15,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-16,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-17,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-18,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-21,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-22,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-23,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-24,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-25,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-28,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-29,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-30,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-31,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-01,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-04,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-05,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-06,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-07,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-08,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-11,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-12,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-13,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-14,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-15,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-18,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-19,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-20,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-21,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-22,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-26,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-27,0.13,0.13,0.13,0.13,0.13,0.0
2013-02-28,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-01,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-04,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-05,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-06,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-07,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-08,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-11,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-12,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-13,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-14,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-15,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-18,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-19,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-20,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-21,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-22,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-25,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-26,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-27,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-28,0.13,0.13,0.13,0.13,0.13,0.0
2013-03-29,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-01,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-02,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-03,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-04,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-05,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-09,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-10,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-11,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-12,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-17,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-18,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-19,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-22,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-23,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-24,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-25,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-26,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-29,0.13,0.13,0.13,0.13,0.13,0.0
2013-04-30,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-02,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-03,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-07,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-08,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-09,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-10,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-13,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-14,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-15,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-16,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-17,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-20,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-21,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-22,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-23,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-27,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-28,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-29,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-30,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-31,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-03,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-04,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-05,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-06,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-07,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-10,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-11,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-12,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-13,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-14,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-17,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-18,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-19,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-20,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-21,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-24,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-25,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-26,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-27,0.13,0.13,0.13,0.13,0.13,0.0
2013-06-28,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-02,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-03,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-04,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-05,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-08,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-09,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-10,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-11,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-12,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-15,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-16,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-17,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-18,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-19,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-23,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-24,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-25,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-26,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-29,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-30,0.13,0.13,0.13,0.13,0.13,0.0
2013-07-31,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-01,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-02,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-05,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-06,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-07,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-08,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-09,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-13,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-14,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-15,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-16,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-19,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-20,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-21,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-22,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-23,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-26,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-27,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-28,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-29,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-30,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-02,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-03,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-04,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-05,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-06,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-09,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-10,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-11,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-12,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-13,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-16,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-17,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-18,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-19,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-20,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-23,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-24,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-25,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-26,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-27,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-30,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-01,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-02,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-03,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-04,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-07,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-08,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-09,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-10,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-11,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-14,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-15,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-16,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-17,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-18,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-21,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-22,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-24,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-25,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-28,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-29,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-30,0.13,0.13,0.13,0.13,0.13,0.0
2013-10-31,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-01,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-04,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-05,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-06,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-07,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-08,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-11,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-12,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-13,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-14,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-15,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-18,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-19,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-20,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-21,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-22,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-25,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-26,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-27,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-28,0.13,0.13,0.13,0.13,0.13,0.0
2013-11-29,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-02,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-03,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-04,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-06,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-09,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-11,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-12,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-13,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-16,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-17,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-18,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-19,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-20,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-23,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-24,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-25,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-26,0.13,0.13,0.13,0.13,0.13,0.0
2013-12-27,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-02,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-03,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-06,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-07,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-08,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-09,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-10,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-13,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-14,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-15,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-16,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-17,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-20,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-21,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-22,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-23,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-24,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-27,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-28,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-29,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-30,0.13,0.13,0.13,0.13,0.13,0.0
2014-01-31,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-03,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-04,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-05,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-06,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-07,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-10,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-11,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-12,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-13,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-17,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-18,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-19,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-20,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-21,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-24,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-25,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-26,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-27,0.13,0.13,0.13,0.13,0.13,0.0
2014-02-28,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-03,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-04,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-05,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-06,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-07,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-10,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-11,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-12,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-13,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-14,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-17,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-18,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-19,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-20,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-21,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-24,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-25,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-26,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-27,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-28,0.13,0.13,0.13,0.13,0.13,0.0
2014-03-31,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-01,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-02,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-03,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-04,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-08,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-09,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-10,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-11,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-16,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-17,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-18,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-21,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-22,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-23,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-24,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-25,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-28,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-29,0.13,0.13,0.13,0.13,0.13,0.0
2014-04-30,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-02,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-06,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-07,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-08,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-09,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-12,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-14,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-15,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-16,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-19,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-20,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-21,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-22,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-23,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-26,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-27,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-28,0.13,0.13,0.13,0.13,0.13,0.0
2014-05-29,,,,,,
2014-05-30,,,,,,
2014-06-02,,,,,,
2014-06-03,,,,,,
2014-06-04,,,,,,
2014-06-05,,,,,,
2014-06-06,,,,,,
2014-06-09,,,,,,
2014-06-10,,,,,,
2014-06-11,,,,,,
2014-06-12,,,,,,
2014-06-13,,,,,,
2014-06-16,,,,,,
2014-06-17,,,,,,
2014-06-18,,,,,,
2014-06-19,,,,,,
2014-06-20,,,,,,
2014-06-23,,,,,,
2014-06-24,,,,,,
2014-06-25,,,,,,
2014-06-26,,,,,,
2014-06-27,,,,,,
2014-06-30,,,,,,
2014-07-02,,,,,,
2014-07-03,,,,,,
2014-07-04,,,,,,
2014-07-07,,,,,,
2014-07-08,,,,,,
2014-07-09,,,,,,
2014-07-10,,,,,,
2014-07-14,,,,,,
2014-07-15,,,,,,
2014-07-16,,,,,,
2014-07-17,,,,,,
2014-07-18,,,,,,
2014-07-21,,,,,,
2014-07-22,,,,,,
2014-07-23,,,,,,
2014-07-24,,,,,,
2014-07-25,,,,,,
2014-07-28,,,,,,
2014-07-29,,,,,,
2014-07-30,,,,,,
2014-07-31,,,,,,
2014-08-01,,,,,,
2014-08-04,,,,,,
2014-08-05,,,,,,
2014-08-06,,,,,,
2014-08-07,,,,,,
2014-08-08,,,,,,
2014-08-13,,,,,,
2014-08-14,,,,,,
2014-08-15,2.1,2.14,2.06,2.12,2.12,472800.0
2014-08-18,,,,,,
2014-08-19,,,,,,
2014-08-20,,,,,,
2014-08-21,,,,,,
2014-08-22,,,,,,
2014-08-25,,,,,,
2014-08-26,,,,,,
2014-08-27,,,,,,
2014-08-28,,,,,,
2014-08-29,,,,,,
2014-09-01,,,,,,
2014-09-02,,,,,,
2014-09-03,,,,,,
2014-09-04,,,,,,
2014-09-05,,,,,,
2014-09-08,,,,,,
2014-09-09,,,,,,
2014-09-10,,,,,,
2014-09-11,,,,,,
2014-09-12,,,,,,
2014-09-15,,,,,,
2014-09-16,,,,,,
2014-09-17,,,,,,
2014-09-18,,,,,,
2014-09-19,,,,,,
2014-09-22,,,,,,
2014-09-23,,,,,,
2014-09-24,,,,,,
2014-09-25,,,,,,
2014-09-26,,,,,,
2014-09-29,,,,,,
2014-09-30,,,,,,
2014-10-01,,,,,,
2014-10-02,,,,,,
2014-10-03,,,,,,
2014-10-06,,,,,,
2014-10-07,,,,,,
2014-10-08,,,,,,
2014-10-09,,,,,,
2014-10-10,,,,,,
2014-10-13,,,,,,
2014-10-14,,,,,,
2014-10-15,,,,,,
2014-10-16,,,,,,
2014-10-17,,,,,,
2014-10-20,,,,,,
2014-10-21,,,,,,
2014-10-22,,,,,,
2014-10-24,,,,,,
2014-10-27,,,,,,
2014-10-28,,,,,,
2014-10-29,2.34,2.54,2.28,2.28,2.28,3314100.0
2014-10-30,2.32,2.32,2.22,2.24,2.24,7449100.0
2014-10-31,,,,,,
2014-11-03,,,,,,
2014-11-04,,,,,,
2014-11-05,,,,,,
2014-11-06,,,,,,
2014-11-07,,,,,,
2014-11-10,,,,,,
2014-11-11,,,,,,
2014-11-12,,,,,,
2014-11-13,,,,,,
2014-11-14,,,,,,
2014-11-17,,,,,,
2014-11-18,,,,,,
2014-11-19,,,,,,
2014-11-20,,,,,,
2014-11-21,,,,,,
2014-11-24,,,,,,
2014-11-25,,,,,,
2014-11-26,,,,,,
2014-11-27,,,,,,
2014-11-28,,,,,,
2014-12-01,,,,,,
2014-12-02,,,,,,
2014-12-03,,,,,,
2014-12-04,,,,,,
2014-12-08,,,,,,
2014-12-09,,,,,,
2014-12-11,,,,,,
2014-12-12,,,,,,
2014-12-15,,,,,,
2014-12-16,,,,,,
2014-12-17,,,,,,
2014-12-18,,,,,,
2014-12-19,,,,,,
2014-12-22,,,,,,
2014-12-23,,,,,,
2014-12-24,1.78,1.81,1.75,1.77,1.77,5998700.0
2014-12-25,,,,,,
2014-12-26,,,,,,
2014-12-29,,,,,,
2014-12-30,,,,,,
2015-01-05,,,,,,
2015-01-06,,,,,,
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-26,,,,,,
2015-01-27,,,,,,
2015-01-28,,,,,,
2015-01-29,,,,,,
2015-01-30,,,,,,
2015-02-02,,,,,,
2015-02-03,,,,,,
2015-02-04,,,,,,
2015-02-05,,,,,,
2015-02-06,,,,,,
2015-02-09,,,,,,
2015-02-10,,,,,,
2015-02-11,,,,,,
2015-02-12,,,,,,
2015-02-13,,,,,,
2015-02-16,,,,,,
2015-02-17,,,,,,
2015-02-18,,,,,,
2015-02-19,,,,,,
2015-02-20,2.36,2.52,2.24,2.3,2.3,89256600.0
2015-02-23,,,,,,
2015-02-24,,,,,,
2015-02-25,,,,,,
2015-02-26,,,,,,
2015-02-27,,,,,,
2015-03-02,2.04,2.06,1.99,2.02,2.02,5276200.0
2015-03-03,2.02,2.02,1.85,1.91,1.91,6692200.0
2015-03-05,1.91,2.18,1.87,2.08,2.08,14109500.0
2015-03-06,2.08,2.14,2.0,2.14,2.14,17074000.0
2015-03-09,2.06,2.14,2.04,2.14,2.14,2564600.0
2015-03-10,2.12,2.12,2.02,2.04,2.04,2879900.0
2015-03-11,1.97,2.04,1.97,2.04,2.04,1142100.0
2015-03-12,2.04,2.2,2.02,2.14,2.14,4728800.0
2015-03-13,2.18,2.5,2.12,2.48,2.48,39209900.0
2015-03-16,2.42,2.44,2.1,2.3,2.3,10960500.0
2015-03-17,2.3,2.36,2.2,2.3,2.3,5223000.0
2015-03-18,2.48,2.62,2.1,2.3,2.3,23340000.0
2015-03-19,2.34,2.34,2.24,2.26,2.26,1146700.0
2015-03-20,2.24,2.3,2.08,2.2,2.2,2876400.0
2015-03-23,2.12,2.16,2.06,2.1,2.1,1351300.0
2015-03-24,2.1,2.16,2.06,2.12,2.12,2000200.0
2015-03-25,2.12,2.2,2.12,2.2,2.2,1076100.0
2015-03-26,2.2,2.28,2.12,2.2,2.2,3154300.0
2015-03-27,2.14,2.2,2.08,2.2,2.2,1894700.0
2015-03-30,2.22,2.26,2.14,2.24,2.24,597700.0
2015-03-31,2.24,2.24,2.2,2.22,2.22,264100.0
2015-04-01,2.24,2.38,2.16,2.28,2.28,5389200.0
2015-04-02,2.28,2.3,2.14,2.2,2.2,5215600.0
2015-04-03,2.18,2.22,2.16,2.18,2.18,1698800.0
2015-04-07,2.18,2.22,2.14,2.16,2.16,1544500.0
